DATE,IPG2211A2N
1998-06-30,86.4579
1998-07-31,93.8379
1998-08-31,93.531
1998-09-30,87.5414
1998-10-31,80.0924
1998-11-30,81.4349
1998-12-31,91.6841
1999-01-31,102.1348
1999-02-28,91.1829
1999-03-31,90.7381
1999-04-30,80.5176
1999-05-31,79.3887
1999-06-30,87.8431
1999-07-31,97.4903
1999-08-31,96.4157
1999-09-30,87.2248
1999-10-31,80.6409
1999-11-30,82.2025
1999-12-31,94.5113
2000-01-31,102.2301
2000-02-29,94.2989
2000-03-31,88.0927
2000-04-30,81.4425
2000-05-31,84.4552
2000-06-30,91.0406
2000-07-31,95.9957
2000-08-31,99.3704
2000-09-30,90.9178
2000-10-31,83.1408
2000-11-30,88.041
2000-12-31,102.4558
2001-01-31,109.1081
2001-02-28,97.1717
2001-03-31,92.8283
2001-04-30,82.915
2001-05-31,82.5465
2001-06-30,90.3955
2001-07-31,96.074
2001-08-31,99.5534
2001-09-30,88.281
2001-10-31,82.686
2001-11-30,82.9319
2001-12-31,93.0381
2002-01-31,102.9955
2002-02-28,95.2075
2002-03-31,93.2556
2002-04-30,85.795
2002-05-31,85.2351
2002-06-30,93.1896
2002-07-31,102.393
2002-08-31,101.6293
2002-09-30,93.3089
2002-10-31,86.9002
2002-11-30,88.5749
2002-12-31,100.8003
2003-01-31,110.1807
2003-02-28,103.8413
2003-03-31,94.5532
2003-04-30,85.062
2003-05-31,85.4653
2003-06-30,91.0761
2003-07-31,102.22
2003-08-31,104.4682
2003-09-30,92.9135
2003-10-31,86.5047
2003-11-30,88.5735
2003-12-31,103.5428
2004-01-31,113.7226
2004-02-29,106.159
2004-03-31,95.4029
2004-04-30,86.7233
2004-05-31,89.0302
2004-06-30,95.5045
2004-07-31,101.7948
2004-08-31,100.2025
2004-09-30,94.024
2004-10-31,87.5262
2004-11-30,89.6144
2004-12-31,105.7263
2005-01-31,111.1614
2005-02-28,101.7795
2005-03-31,98.9565
2005-04-30,86.4776
2005-05-31,87.2234
2005-06-30,99.5076
2005-07-31,108.3501
2005-08-31,109.4862
2005-09-30,99.1155
2005-10-31,89.7567
2005-11-30,90.4587
2005-12-31,108.2257
2006-01-31,104.4724
2006-02-28,101.5196
2006-03-31,98.4017
2006-04-30,87.5093
2006-05-31,90.0222
2006-06-30,100.5244
2006-07-31,110.9503
2006-08-31,111.5192
2006-09-30,95.7632
2006-10-31,90.3738
2006-11-30,92.3566
2006-12-31,103.066
2007-01-31,112.0576
2007-02-28,111.8399
2007-03-31,99.1925
2007-04-30,90.8177
2007-05-31,92.0587
2007-06-30,100.9676
2007-07-31,107.5686
2007-08-31,114.1036
2007-09-30,101.5316
2007-10-31,93.0068
2007-11-30,93.9126
2007-12-31,106.7528
2008-01-31,114.8331
2008-02-29,108.2353
2008-03-31,100.4386
2008-04-30,90.9944
2008-05-31,91.2348
2008-06-30,103.9581
2008-07-31,110.7631
2008-08-31,107.5665
2008-09-30,97.7183
2008-10-31,90.9979
2008-11-30,93.8057
2008-12-31,109.4221
2009-01-31,116.8316
2009-02-28,104.4202
2009-03-31,97.8529
2009-04-30,88.1973
2009-05-31,87.5366
2009-06-30,97.2387
2009-07-31,103.9086
2009-08-31,105.7486
2009-09-30,94.8823
2009-10-31,89.2977
2009-11-30,89.3585
2009-12-31,110.6844
2010-01-31,119.0166
2010-02-28,110.533
2010-03-31,98.2672
2010-04-30,86.3
2010-05-31,90.8364
2010-06-30,104.3538
2010-07-31,112.8066
2010-08-31,112.9014
2010-09-30,100.1209
2010-10-31,88.9251
2010-11-30,92.775
2010-12-31,114.3266
2011-01-31,119.488
2011-02-28,107.3753
2011-03-31,99.1028
2011-04-30,89.3583
2011-05-31,90.0698
2011-06-30,102.8204
2011-07-31,114.7068
2011-08-31,113.5958
2011-09-30,99.4712
2011-10-31,90.3566
2011-11-30,93.8095
2011-12-31,107.3312
2012-01-31,111.9646
2012-02-29,103.3679
2012-03-31,93.5772
2012-04-30,87.5566
2012-05-31,92.7603
2012-06-30,101.14
2012-07-31,113.0357
2012-08-31,109.8601
2012-09-30,96.7431
2012-10-31,90.3805
2012-11-30,94.3417
2012-12-31,105.2722
2013-01-31,115.501
2013-02-28,106.734
2013-03-31,102.9948
2013-04-30,91.0092
2013-05-31,90.9634
2013-06-30,100.6957
2013-07-31,110.148
2013-08-31,108.1756
2013-09-30,99.2809
2013-10-31,91.7871
2013-11-30,97.2853
2013-12-31,113.4732
2014-01-31,124.2549
2014-02-28,112.8811
2014-03-31,104.7631
2014-04-30,90.2867
2014-05-31,92.134
2014-06-30,101.878
2014-07-31,108.5497
2014-08-31,108.194
2014-09-30,100.4172
2014-10-31,92.3837
2014-11-30,99.7033
2014-12-31,109.3477
2015-01-31,120.2696
2015-02-28,116.3788
2015-03-31,104.4706
2015-04-30,89.7461
2015-05-31,91.093
2015-06-30,102.6495
2015-07-31,111.6354
2015-08-31,110.5925
2015-09-30,101.9204
2015-10-31,91.5959
2015-11-30,93.0628
2015-12-31,103.2203
2016-01-31,117.0837
2016-02-29,106.6688
2016-03-31,95.3548
2016-04-30,89.3254
2016-05-31,90.7369
2016-06-30,104.0375
2016-07-31,114.5397
2016-08-31,115.5159
2016-09-30,102.7637
2016-10-31,91.4867
2016-11-30,92.89
2016-12-31,112.7694
2017-01-31,114.8505
2017-02-28,99.4901
2017-03-31,101.0396
2017-04-30,88.353
2017-05-31,92.0805
2017-06-30,102.1532
2017-07-31,112.1538
2017-08-31,108.9312
2017-09-30,98.6154
2017-10-31,93.6137
2017-11-30,97.3359
2017-12-31,114.7212
2018-01-31,129.4048
